지점,일시,평균기온(°C),최저기온(°C),최고기온(°C)
112,2016-07-20,28.1,24.6,31.6
112,2016-07-21,28,25,31.5
112,2016-07-22,28.5,25.9,32.3
112,2016-07-23,27.7,25.8,30.2
112,2016-07-24,27,26.4,28.9
112,2016-07-25,27,25.4,29.8
112,2016-07-26,27,25.3,29.2
112,2016-07-27,26.7,25.9,28.1
112,2016-07-28,26.2,24.5,28.2
112,2016-07-29,25.6,23.4,27.8
112,2016-07-30,27,24.6,30.3
112,2016-07-31,27.7,26.1,30.6
112,2016-08-01,26.9,24.9,29.4
112,2016-08-02,26.9,25.1,29.9
112,2016-08-03,28.2,25.2,32.2
112,2016-08-04,29,25.9,33.2
112,2016-08-05,29.4,26.6,33.3
112,2016-08-06,29.2,26.3,33.4
112,2016-08-07,28.7,25.8,32.7
112,2016-08-08,28.9,26.1,32.7
112,2016-08-09,29.2,25.4,33.3
112,2016-08-10,28.1,25.6,31
112,2016-08-11,29,26.1,33.6
112,2016-08-12,29,26.5,32.4
112,2016-08-13,28.9,26.7,31.8
112,2016-08-14,28.4,26.8,30.3
112,2016-08-15,28,25.9,31.5
112,2016-08-16,28.4,25.5,31.7
112,2016-08-17,28.9,25.8,32.4
112,2016-08-18,28.9,26,32.8
112,2016-08-19,29.2,26.9,31.9
112,2016-08-20,29.4,27.4,34
112,2016-08-21,29.8,27.2,34
112,2016-08-22,29,25.4,33.6
112,2016-08-23,28.9,26.7,32
112,2016-08-24,28.2,26.2,31.8
112,2016-08-25,27,23.5,31.1
112,2016-08-26,23.2,20.1,27
112,2016-08-27,23.8,18.9,28.2
112,2016-08-28,22.2,19.6,26
112,2016-08-29,22.8,18.4,26.8
112,2016-08-30,21.4,19.6,24.4
112,2016-08-31,19,16.9,20.8
112,2016-09-01,23.7,17.7,27.6
112,2016-09-02,24.1,20.6,28.9
112,2016-09-03,24.3,21.9,28.4
112,2016-09-04,24.8,22.3,28.1
112,2016-09-05,25.3,22.4,29.1
112,2016-09-06,24,21.7,26.9
112,2016-09-07,23.6,21.5,26.7
112,2016-09-08,23.4,21.9,26
112,2016-09-09,23.8,21.3,27.4
112,2016-09-10,24,21,28
112,2016-09-11,23.7,21.6,26.6
112,2016-09-12,23.8,21.4,27.7
112,2016-09-13,24,19.6,28.3
112,2016-09-14,24.5,22.1,27.9
112,2016-09-15,23.6,21,26.7
112,2016-09-16,23.9,21.5,27.2
112,2016-09-17,23.2,18.9,27.2
112,2016-09-18,23.4,19.6,27.2
112,2016-09-19,22,18.2,26.7
112,2016-09-20,20.9,15.4,25.8
112,2016-09-21,20.8,16.1,25.1
112,2016-09-22,22.1,18.6,26.2
112,2016-09-23,21.6,17.5,25.8
112,2016-09-24,22,18.5,26.2
112,2016-09-25,22.4,19.6,26.7
112,2016-09-26,23.9,20.7,28.5
112,2016-09-27,21,19.1,24
112,2016-09-28,19.7,18.4,21.6
112,2016-09-29,20.3,17.3,24.9
112,2016-09-30,20.6,17.9,23.1
112,2016-10-01,21.1,18.8,23.8
112,2016-10-02,19.4,16.9,22.3
112,2016-10-03,22,18.8,25.9
112,2016-10-04,22.4,16.8,27.7
112,2016-10-05,21,18,25.4
112,2016-10-06,17.5,13.9,21.1
112,2016-10-07,19.4,16.5,24.6
112,2016-10-08,16.7,10.6,20.5
112,2016-10-09,11.5,7.8,15.2
112,2016-10-10,13.7,9,18.2
112,2016-10-11,16.2,11.9,20
112,2016-10-12,14.9,11.6,18.5
112,2016-10-13,15,10.6,19.8
112,2016-10-14,17,13.4,21.5
112,2016-10-15,19.2,14.5,24.8
112,2016-10-16,17.7,16.2,19.5
112,2016-10-17,17.6,15.6,20.9
112,2016-10-18,16.4,12.4,21.5
112,2016-10-19,17.7,15.1,22
112,2016-10-20,18.8,14.4,24.2
112,2016-10-21,18.2,16.9,21.3
112,2016-10-22,17.9,15.5,20.6
112,2016-10-23,14,11.2,17.6
112,2016-10-24,15.6,10.3,20.1
112,2016-10-25,14.8,12.9,18
112,2016-10-26,14.1,11.3,16.7
112,2016-10-27,15,9.5,19.6
112,2016-10-28,14.8,10.2,17.5
112,2016-10-29,7.7,4.9,10.4
112,2016-10-30,8.7,4,13.4
112,2016-10-31,6.7,2.1,9.5
112,2016-11-01,2.1,-1.3,5.5
112,2016-11-02,5.1,-0.5,9.8
112,2016-11-03,10.5,5.7,13.5
112,2016-11-04,13,9.7,16.6
112,2016-11-05,15.2,12.5,17.9
112,2016-11-06,15.1,13.2,18.2
112,2016-11-07,12.9,8.8,16.6
112,2016-11-08,4.1,1,8.8
112,2016-11-09,2,-2.4,6.1
112,2016-11-10,6.4,1.8,9.9
112,2016-11-11,10.3,7.6,13.3
112,2016-11-12,12.5,8.5,15.7
112,2016-11-13,15.4,12.4,18.8
112,2016-11-14,13.7,10.1,15.7
112,2016-11-15,5.7,3,10.1
112,2016-11-16,5.8,1.5,10.1
112,2016-11-17,9.5,5.8,13.5
112,2016-11-18,11.7,7,15.2
112,2016-11-19,12.7,10.6,15.6
112,2016-11-20,9.1,6.4,13.1
112,2016-11-21,9.5,5.7,15.3
112,2016-11-22,1.9,-1.6,8.1
112,2016-11-23,-1.6,-4.6,2.6
112,2016-11-24,-1.2,-4.2,1.9
112,2016-11-25,2.5,-1.8,5.5
112,2016-11-26,2.2,1.2,3.6
112,2016-11-27,4.8,2.2,7.9
112,2016-11-28,2.3,0.4,5
112,2016-11-29,2.9,-0.4,6.3
112,2016-11-30,6.8,2.6,9.4
112,2016-12-01,5.1,0.2,8.8
112,2016-12-02,3,-1.1,7.5
112,2016-12-03,5.5,1.8,10.4
112,2016-12-04,6.9,4.2,9
112,2016-12-05,6.8,1.3,10.3
112,2016-12-06,-0.3,-2.7,2.9
112,2016-12-07,3.4,-0.2,7.4
112,2016-12-08,4,-0.9,7
112,2016-12-09,2.2,-2.3,5.8
112,2016-12-10,-1,-4,2.1
112,2016-12-11,-0.1,-3.9,4.2
112,2016-12-12,3,-1.8,6
112,2016-12-13,3.5,-0.2,6.8
112,2016-12-14,-1.2,-3,0.5
112,2016-12-15,-4.1,-6.2,-1.9
112,2016-12-16,-3.3,-7.7,-0.4
112,2016-12-17,5.3,-0.4,9.8
112,2016-12-18,6.7,5.3,8.4
112,2016-12-19,8.3,6,12.1
112,2016-12-20,7.3,5.3,9.9
112,2016-12-21,9.2,5.4,13
112,2016-12-22,5.8,2.2,13
112,2016-12-23,-1.7,-3,2.2
112,2016-12-24,-2,-3.9,0.3
112,2016-12-25,1,-3.3,4.7
112,2016-12-26,2.5,1.1,3.7
112,2016-12-27,-1.8,-5.7,1.4
112,2016-12-28,-3.5,-7.4,0.8
112,2016-12-29,-3.5,-5.8,-1.5
112,2016-12-30,-2.1,-7.1,2.5
112,2016-12-31,2.8,-0.6,6.9
112,2017-01-01,5.1,1.3,8.5
112,2017-01-02,5.7,2.4,8.7
112,2017-01-03,3.4,-0.3,7.3
112,2017-01-04,4.3,2.2,7.6
112,2017-01-05,4.8,0.9,7.7
112,2017-01-06,6.5,4.5,10.8
112,2017-01-07,5,1.7,7.9
112,2017-01-08,6.3,4.1,8.8
112,2017-01-09,1.9,-2.1,4.4
112,2017-01-10,-2.4,-5.6,0.6
112,2017-01-11,-1.9,-6.7,2.3
112,2017-01-12,-0.7,-4.4,3.1
112,2017-01-13,-4.9,-6.5,-1.8
112,2017-01-14,-7.1,-8.7,-5.1
112,2017-01-15,-5.3,-8.7,-1.5
112,2017-01-16,-2.9,-6.4,1.8
112,2017-01-17,-0.7,-5.1,2.7
112,2017-01-18,0.9,-1.3,3.8
112,2017-01-19,-0.9,-3.8,3.5
112,2017-01-20,-3.7,-5.9,0
112,2017-01-21,-3.4,-7.5,0.2
112,2017-01-22,-7.2,-8.7,-2.2
112,2017-01-23,-7.9,-11.1,-4.9
112,2017-01-24,-5.9,-9.1,-2.7
112,2017-01-25,-3.8,-8.8,0.6
112,2017-01-26,0,-5.3,5.2
112,2017-01-27,-2.4,-4.9,5.3
112,2017-01-28,-1.6,-6.7,3.2
112,2017-01-29,0.7,-0.5,1.9
112,2017-01-30,-5,-7.1,-0.5
112,2017-01-31,-4.9,-8.6,-1.5
112,2017-02-01,-2.9,-5.8,-0.8
112,2017-02-02,-1.2,-7.4,3
112,2017-02-03,2.5,-0.2,6
112,2017-02-04,2,-0.5,3.7
112,2017-02-05,1.4,0,3.3
112,2017-02-06,-1.3,-3.1,1.4
112,2017-02-07,-1.9,-4,0.7
112,2017-02-08,-1.7,-4,0.3
112,2017-02-09,-4.5,-5.4,-2.3
112,2017-02-10,-5.6,-7.7,-3.1
112,2017-02-11,-3.7,-6.9,0.2
112,2017-02-12,-0.8,-5,3.2
112,2017-02-13,1.2,-3.3,5
112,2017-02-14,0.8,-1.7,4.8
112,2017-02-15,2.1,-2.2,6.2
112,2017-02-16,6.2,1.3,10.2
112,2017-02-17,0.3,-4.2,7
112,2017-02-18,-1.6,-5.4,1.8
112,2017-02-19,3,-1.7,6.6
112,2017-02-20,-1.7,-4.5,5.9
112,2017-02-21,-1.3,-6.2,3.3
112,2017-02-22,1.3,-0.8,3.6
112,2017-02-23,-1.1,-3.3,0.8
112,2017-02-24,-0.1,-3.6,3.4
112,2017-02-25,2.9,-1.4,6.6
112,2017-02-26,3.2,0.1,7.8
112,2017-02-27,3.7,-0.1,9.3
112,2017-02-28,5.2,0.3,10.5
112,2017-03-01,5.3,2.2,10.8
112,2017-03-02,1.5,-0.4,5
112,2017-03-03,3.5,-1,8.4
112,2017-03-04,5.3,1.4,10
112,2017-03-05,4.5,1.9,9
112,2017-03-06,0.4,-1.8,3
112,2017-03-07,-1.2,-3,1.4
112,2017-03-08,0.9,-3.5,5.5
112,2017-03-09,3.9,-1,8.1
112,2017-03-10,5,1.6,9.8
112,2017-03-11,6.7,1.8,12.4
112,2017-03-12,7.4,5.2,11.4
112,2017-03-13,5.7,2.1,10
112,2017-03-14,5.6,2.2,9.3
112,2017-03-15,5.3,1.5,10.2
112,2017-03-16,5.3,0.9,10.8
112,2017-03-17,6.7,2.3,12.4
112,2017-03-18,7.9,5.2,14.1
112,2017-03-19,9.5,3.8,15.6
112,2017-03-20,9.1,6,13.2
112,2017-03-21,7,3.7,12.5
112,2017-03-22,6.9,2.7,11.3
112,2017-03-23,8.2,5.1,13
112,2017-03-24,8.2,5,12.3
112,2017-03-25,6.4,4.7,10.5
112,2017-03-26,6.2,4.5,9.5
112,2017-03-27,6.5,4.7,9.6
112,2017-03-28,6.8,4.2,10.5
112,2017-03-29,7.5,3.9,12.1
112,2017-03-30,9.2,5.1,14.4
112,2017-03-31,9.2,7.1,12.2
112,2017-04-01,7.9,4.5,12.9
112,2017-04-02,8.6,4.9,13
112,2017-04-03,9.6,5.9,14.1
112,2017-04-04,12.4,7.5,17.6
112,2017-04-05,11.7,10.3,13.9
112,2017-04-06,8.6,8.2,10.4
112,2017-04-07,11.6,8.1,16.5
112,2017-04-08,9.5,6.4,13.5
112,2017-04-09,14.1,9,19
112,2017-04-10,15.1,11,20.6
112,2017-04-11,13.2,10.4,17.6
112,2017-04-12,10.7,8.5,14
112,2017-04-13,11.4,7.1,16.5
112,2017-04-14,12,10.3,15.7
112,2017-04-15,14.3,10.2,19
112,2017-04-16,15,10.2,20.3
112,2017-04-17,14,12,16.3
112,2017-04-18,11.4,9.9,16.4
112,2017-04-19,12,9,15.4
112,2017-04-20,12.1,9.3,16.6
112,2017-04-21,11.4,8.1,16.5
112,2017-04-22,13.2,8.6,18.9
112,2017-04-23,13.4,9.3,18.6
112,2017-04-24,14.1,10.2,18.5
112,2017-04-25,14,12.1,17.1
112,2017-04-26,14,10.7,18.7
112,2017-04-27,12.8,9.3,17.7
112,2017-04-28,12.7,9.7,16.9
112,2017-04-29,15.1,10,19.3
112,2017-04-30,16.8,12.9,22.5
112,2017-05-01,16.8,11.3,24.1
112,2017-05-02,17.5,12,23.2
112,2017-05-03,19.2,13.7,26.8
112,2017-05-04,19.4,14.5,24.9
112,2017-05-05,18.5,14.8,24.6
112,2017-05-06,13.6,10.8,16.4
112,2017-05-07,14.8,11.1,19.4
112,2017-05-08,16.4,12.3,20.3
112,2017-05-09,16,14.2,20.5
112,2017-05-10,15.1,13.2,18.5
112,2017-05-11,17.7,13.1,22.2
112,2017-05-12,17.3,15.2,18.8
112,2017-05-13,15.4,12.3,21.3
112,2017-05-14,14.9,11.9,18.2
112,2017-05-15,14.8,12.7,19.2
112,2017-05-16,15.2,12.7,19
112,2017-05-17,16.9,12.8,22.5
112,2017-05-18,18.3,14.1,23.5
112,2017-05-19,18.9,15.3,23.6
112,2017-05-20,18.8,15,22.9
112,2017-05-21,19.5,15.4,23.9
112,2017-05-22,19.8,15.5,24.9
112,2017-05-23,18.5,16.5,22.4
112,2017-05-24,19.4,16.2,24.5
112,2017-05-25,18.1,14.7,23.2
112,2017-05-26,16.8,12.6,20.9
112,2017-05-27,17.6,14.2,22.7
112,2017-05-28,19.7,14.8,24.2
112,2017-05-29,20,17.4,23.9
112,2017-05-30,20.8,17.3,25.7
112,2017-05-31,20.3,15.6,24.9
112,2017-06-01,21.6,19.5,25.1
112,2017-06-02,19.6,16.1,23.5
112,2017-06-03,19.2,15.9,22.9
112,2017-06-04,20.5,16.2,24.3
112,2017-06-05,22.6,17.1,27.6
112,2017-06-06,19.2,14.9,23.4
112,2017-06-07,17.6,15.4,19.2
112,2017-06-08,18.5,16,20.8
112,2017-06-09,19.1,17.3,21.8
112,2017-06-10,20.1,15.2,25.2
112,2017-06-11,21.9,15.7,27.5
112,2017-06-12,21.3,18.2,25.6
112,2017-06-13,19.8,18.2,23.4
112,2017-06-14,19.5,17.5,22.6
112,2017-06-15,20.4,17.3,23.6
112,2017-06-16,22.6,19.9,26.9
112,2017-06-17,22.1,19.6,25.7
112,2017-06-18,21.9,18.7,26.4
112,2017-06-19,22.3,18.7,27.4
112,2017-06-20,23.9,19.7,28.6
112,2017-06-21,22.9,20.7,26.5
112,2017-06-22,23.2,20.3,27.7
112,2017-06-23,24,20,29.4
112,2017-06-24,22.4,20.6,24.2
112,2017-06-25,24,20.4,28.7
112,2017-06-26,23.3,21.2,28.9
112,2017-06-27,23.8,21,27.8
112,2017-06-28,24.4,21.5,28
112,2017-06-29,24.2,21.1,28.8
112,2017-06-30,24.2,21.5,28.4
112,2017-07-01,24.1,21.8,28.4
112,2017-07-02,23.6,21.6,24.9
112,2017-07-03,23.2,21.9,24.8
112,2017-07-04,24.8,23,28.4
112,2017-07-05,26,22.5,30
112,2017-07-06,26.6,23.1,30.7
112,2017-07-07,25.9,24.1,28
112,2017-07-08,25.3,24.2,26.1
112,2017-07-09,26,23.9,29.3
112,2017-07-10,23.7,22.1,24.9
112,2017-07-11,24.9,22.1,28.8
112,2017-07-12,25.2,24,28.3
112,2017-07-13,26,23.4,30
112,2017-07-14,27.2,25.5,30.7
112,2017-07-15,23.9,22.6,26.2
